"DATETIME","Total(Watts)"
"05:16",1
"05:17",1
"05:18",6
"05:19",8
"05:20",8
"05:21",8
"05:22",8
"05:23",8
"05:24",9
"05:25",8
"05:26",9
"05:27",9
"05:28",10
"05:29",9
"05:30",9
"05:31",10
"05:32",10
"05:33",10
"05:34",11
"05:35",12
"05:36",14
"05:37",12
"05:38",10
"05:39",10
"05:40",23
"05:41",23
"05:42",50
"05:43",56
"05:44",56
"05:45",56
"05:46",59
"05:47",65
"05:48",71
"05:49",76
"05:50",78
"05:51",74
"05:52",74
"05:53",79
"05:54",80
"05:55",89
"05:56",91
"05:57",91
"05:58",92
"05:59",92
"06:00",92
"06:01",93
"06:02",91
"06:03",103
"06:04",98
"06:05",97
"06:06",95
"06:07",104
"06:08",111
"06:09",111
"06:10",117
"06:11",134
"06:12",144
"06:13",137
"06:14",128
"06:15",121
"06:16",124
"06:17",123
"06:18",126
"06:19",126
"06:20",137
"06:21",145
"06:22",151
"06:23",155
"06:24",151
"06:25",139
"06:26",142
"06:27",132
"06:28",129
"06:29",128
"06:30",136
"06:31",145
"06:32",159
"06:33",183
"06:34",196
"06:35",196
"06:36",196
"06:37",198
"06:38",182
"06:39",179
"06:40",182
"06:41",180
"06:42",180
"06:43",195
"06:44",199
"06:45",193
"06:46",191
"06:47",206
"06:48",212
"06:49",228
"06:50",245
"06:51",260
"06:52",260
"06:53",237
"06:54",236
"06:55",229
"06:56",207
"06:57",214
"06:58",211
"06:59",220
"07:00",241
"07:01",236
"07:02",231
"07:03",228
"07:04",216
"07:05",203
"07:06",211
"07:07",226
"07:08",224
"07:09",209
"07:10",220
"07:11",224
"07:12",216
"07:13",210
"07:14",201
"07:15",185
"07:16",179
"07:17",176
"07:18",174
"07:19",173
"07:20",173
"07:21",171
"07:22",173
"07:23",173
"07:24",174
"07:25",174
"07:26",179
"07:27",179
"07:28",181
"07:29",184
"07:30",184
"07:31",184
"07:32",185
"07:33",183
"07:34",185
"07:35",186
"07:36",187
"07:37",188
"07:38",187
"07:39",188
"07:40",189
"07:41",188
"07:42",188
"07:43",188
"07:44",192
"07:45",196
"07:46",195
"07:47",197
"07:48",197
"07:49",198
"07:50",205
"07:51",202
"07:52",196
"07:53",199
"07:54",199
"07:55",198
"07:56",199
"07:57",199
"07:58",199
"07:59",202
"08:00",203
"08:01",205
"08:02",205
"08:03",205
"08:04",200
"08:05",207
"08:06",209
"08:07",210
"08:08",211
"08:09",212
"08:10",213
"08:11",209
"08:12",216
"08:13",217
"08:14",218
"08:15",216
"08:16",216
"08:17",212
"08:18",213
"08:19",213
"08:20",213
"08:21",214
"08:22",215
"08:23",214
"08:24",216
"08:25",218
"08:26",218
"08:27",218
"08:28",221
"08:29",222
"08:30",224
"08:31",224
"08:32",224
"08:33",221
"08:34",223
"08:35",216
"08:36",226
"08:37",225
"08:38",225
"08:39",225
"08:40",224
"08:41",222
"08:42",220
"08:43",228
"08:44",228
"08:45",231
"08:46",232
"08:47",233
"08:48",229
"08:49",233
"08:50",234
"08:51",236
"08:52",236
"08:53",236
