0.43	9.817
0.43	9.850
0.43	9.883
0.44	9.883
0.44	9.900
0.44	9.917
0.44	9.933
0.44	9.933
0.44	9.950
0.44	9.950
0.44	9.967
0.45	9.967
0.45	9.967
0.45	9.983
0.45	10.000
0.45	10.000
0.45	10.067
0.45	10.067
0.45	10.067
0.46	10.083
0.46	10.083
0.46	10.083
0.46	10.100
0.46	10.133
0.46	10.133
0.46	10.150
0.46	10.150
0.47	10.183
0.47	10.233
0.47	10.250
0.47	10.267
0.47	10.300
0.47	10.317
0.47	10.317
0.47	10.333
0.48	10.350
0.48	10.350
0.48	10.367
0.48	10.383
0.48	10.383
0.48	10.400
0.48	10.400
0.48	10.400
0.49	10.400
0.49	10.400
0.49	10.467
0.49	10.467
0.49	10.483
0.49	10.483
0.49	10.517
0.49	10.533
0.50	10.550
0.50	10.550
0.50	10.567
0.50	10.600
0.50	10.617
0.50	10.617
0.50	10.667
0.50	10.700
0.50	10.700
0.51	10.733
0.51	10.767
0.51	10.767
0.51	10.783
0.51	10.783
0.51	10.800
0.51	10.800
0.51	10.800
0.52	10.817
0.52	10.833
0.52	10.850
0.52	10.850
0.52	10.850
0.52	10.850
0.52	10.867
0.52	10.867
0.53	10.867
0.53	10.883
0.53	10.900
0.53	10.900
0.53	10.900
0.53	10.917
0.53	10.917
0.53	10.933
0.54	10.933
0.54	10.967
0.54	10.967
0.54	10.967
0.54	10.967
0.54	10.967
0.54	10.983
0.54	11.000
0.55	11.000
0.55	11.017
0.55	11.017
0.55	11.017
0.55	11.033
0.55	11.083
0.55	11.083
0.55	11.100
0.56	11.133
0.56	11.133
0.56	11.167
0.56	11.167
0.56	11.183
0.56	11.183
0.56	11.183
0.56	11.200
0.57	11.200
0.57	11.217
0.57	11.217
0.57	11.233
0.57	11.250
0.57	11.267
0.57	11.267
0.57	11.283
0.58	11.283
0.58	11.300
0.58	11.300
0.58	11.300
0.58	11.317
0.58	11.317
0.58	11.317
0.58	11.317
0.59	11.333
0.59	11.367
0.59	11.367
0.59	11.367
0.59	11.383
0.59	11.383
0.59	11.400
0.59	11.400
0.60	11.417
0.60	11.417
0.60	11.433
0.60	11.433
0.60	11.433
0.60	11.450
0.60	11.450
0.60	11.467
0.60	11.467
0.61	11.483
0.61	11.500
0.61	11.500
0.61	11.517
0.61	11.533
0.61	11.533
0.61	11.533
0.61	11.533
0.62	11.567
0.62	11.567
0.62	11.600
0.62	11.600
0.62	11.600
0.62	11.617
0.62	11.617
0.62	11.617
0.63	11.633
0.63	11.650
0.63	11.667
0.63	11.667
0.63	11.683
0.63	11.700
0.63	11.700
0.63	11.700
0.64	11.717
0.64	11.717
0.64	11.717
0.64	11.717
0.64	11.733
0.64	11.750
0.64	11.767
0.64	11.783
0.65	11.783
0.65	11.783
0.65	11.783
0.65	11.783
0.65	11.817
0.65	11.817
0.65	11.833
0.65	11.833
0.66	11.850
0.66	11.850
0.66	11.867
0.66	11.883
0.66	11.900
0.66	11.900
0.66	11.917
0.66	11.933
0.67	11.933
0.67	11.950
0.67	11.950
0.67	11.967
0.67	11.967
0.67	11.983
0.67	12.000
0.67	12.017
0.68	12.017
0.68	12.017
0.68	12.050
0.68	12.067
0.68	12.067
0.68	12.067
0.68	12.100
0.68	12.100
0.69	12.117
0.69	12.117
0.69	12.133
0.69	12.133
0.69	12.133
0.69	12.150
0.69	12.150
0.69	12.150
0.70	12.183
0.70	12.217
0.70	12.217
0.70	12.217
0.70	12.217
0.70	12.217
0.70	12.233
0.70	12.233
0.70	12.250
0.71	12.250
