0.22	3.740	2019-10-6
0.23	3.741	2019-1-19
0.23	3.752	2020-12-28
0.23	3.753	2020-11-11
0.23	3.759	2020-4-24
0.23	3.773	2021-1-2
0.23	3.811	2019-12-20
0.23	3.816	2019-10-22
0.23	3.826	2018-11-28
0.24	3.834	2019-10-12
0.24	3.845	2018-12-20
0.24	3.853	2019-6-16
0.24	3.902	2019-12-19
0.24	3.911	2021-1-26
0.24	3.912	2021-1-1
0.24	3.913	2019-1-10
0.24	3.970	2021-1-21
0.25	3.987	2020-8-27
0.25	4.008	2021-2-21
0.25	4.027	2021-1-15
0.25	4.027	2019-12-26
0.25	4.052	2020-10-24
0.25	4.068	2019-10-17
0.25	4.075	2018-12-13
0.25	4.080	2020-10-31
0.25	4.098	2020-1-7
0.26	4.108	2019-1-29
0.26	4.148	2019-1-3
0.26	4.155	2021-1-22
0.26	4.182	2020-12-13
0.26	4.241	2018-12-31
0.26	4.258	2020-1-15
0.26	4.260	2021-3-18
0.26	4.264	2019-4-9
0.27	4.284	2020-12-2
0.27	4.302	2019-6-13
0.27	4.321	2021-1-6
0.27	4.408	2020-11-14
0.27	4.431	2020-1-16
0.27	4.440	2019-1-16
0.27	4.450	2020-4-26
0.27	4.507	2020-12-16
0.28	4.513	2019-2-21
0.28	4.527	2019-12-15
0.28	4.582	2020-11-16
0.28	4.588	2021-1-18
0.28	4.594	2020-4-30
0.28	4.597	2021-1-9
0.28	4.602	2020-10-7
0.28	4.623	2020-10-12
0.29	4.646	2020-12-1
0.29	4.675	2021-2-18
0.29	4.719	2019-10-3
0.29	4.723	2018-12-14
0.29	4.745	2020-2-4
0.29	4.765	2021-4-1
0.29	4.784	2019-10-30
0.29	4.792	2020-12-11
0.29	4.794	2018-12-1
0.30	4.826	2019-9-12
0.30	4.842	2021-1-12
0.30	4.844	2021-1-20
0.30	4.903	2020-1-21
0.30	4.905	2019-10-25
0.30	4.905	2019-11-8
0.30	4.908	2019-1-11
0.30	4.913	2019-10-20
0.31	4.922	2020-1-8
0.31	4.928	2020-1-5
0.31	4.932	2021-1-13
0.31	4.933	2020-2-2
0.31	4.934	2021-1-4
0.31	4.955	2020-4-21
0.31	4.959	2020-5-10
0.31	4.959	2020-8-29
0.32	4.970	2020-2-9
0.32	5.005	2019-10-16
0.32	5.036	2019-3-3
0.32	5.084	2018-12-5
0.32	5.088	2019-5-28
0.32	5.111	2019-3-29
0.32	5.113	2020-11-28
0.32	5.120	2019-1-6
0.32	5.137	2019-1-4
0.33	5.182	2020-8-16
0.33	5.182	2018-11-27
0.33	5.185	2019-10-8
0.33	5.202	2019-11-29
0.33	5.202	2019-12-29
0.33	5.227	2019-1-18
0.33	5.247	2020-8-15
0.33	5.264	2018-12-6
0.34	5.274	2021-1-31
0.34	5.278	2019-4-20
0.34	5.284	2019-9-14
0.34	5.334	2020-1-1
0.34	5.354	2019-5-29
0.34	5.357	2018-11-29
0.34	5.425	2018-11-21
0.34	5.429	2019-4-10
0.35	5.452	2020-10-2
0.35	5.477	2020-1-27
0.35	5.523	2019-6-25
0.35	5.546	2020-2-5
0.35	5.554	2020-1-23
0.35	5.577	2020-4-10
0.35	5.578	2019-4-22
0.35	5.585	2018-12-29
0.36	5.585	2021-1-30
0.36	5.622	2019-2-13
0.36	5.657	2020-10-25
0.36	5.720	2021-1-10
0.36	5.724	2019-1-2
0.36	5.725	2021-1-19
0.36	5.745	2020-2-16
0.36	5.753	2020-5-16
0.36	5.770	2018-12-9
0.37	5.778	2021-2-28
0.37	5.798	2019-12-28
0.37	5.802	2019-12-25
0.37	5.805	2019-1-15
0.37	5.807	2020-1-31
0.37	5.810	2019-11-14
0.37	5.856	2019-12-23
0.37	5.887	2019-9-26
0.38	5.889	2020-11-17
0.38	5.891	2019-2-3
0.38	5.909	2020-6-11
0.38	5.942	2020-12-27
0.38	5.964	2020-10-27
0.38	6.017	2020-2-3
0.38	6.022	2021-4-11
0.38	6.042	2018-12-27
0.39	6.072	2021-5-4
0.39	6.082	2019-1-17
0.39	6.101	2019-2-6
0.39	6.133	2020-5-1
0.39	6.146	2018-12-26
0.39	6.160	2019-12-24
0.39	6.168	2019-7-22
0.39	6.181	2021-4-15
0.39	6.183	2018-11-24
0.40	6.184	2020-12-15
0.40	6.194	2018-12-11
0.40	6.196	2019-1-1
0.40	6.200	2020-12-3
0.40	6.206	2019-10-1
0.40	6.210	2020-12-29
0.40	6.250	2020-8-5
0.40	6.266	2020-10-20
0.41	6.273	2020-1-22
0.41	6.288	2019-5-10
0.41	6.316	2020-1-11
0.41	6.320	2020-6-30
0.41	6.328	2018-12-19
0.41	6.352	2018-12-12
0.41	6.354	2018-12-10
0.41	6.370	2020-12-26
0.42	6.377	2019-5-5
0.42	6.378	2021-1-8
0.42	6.403	2018-12-18
0.42	6.436	2020-2-8
0.42	6.467	2020-11-29
0.42	6.495	2018-12-30
0.42	6.498	2019-6-18
0.42	6.521	2019-1-28
0.43	6.533	2019-5-17
0.43	6.543	2020-12-4
0.43	6.553	2020-9-10
0.43	6.556	2020-8-11
0.43	6.562	2020-1-2
0.43	6.564	2019-11-21
0.43	6.574	2018-12-7
0.43	6.582	2020-1-20
0.43	6.616	2019-11-23
0.44	6.623	2018-12-25
0.44	6.639	2019-2-28
0.44	6.649	2021-1-7
0.44	6.686	2019-9-10
0.44	6.726	2018-12-4
0.44	6.753	2020-11-9
0.44	6.780	2019-2-2
0.44	6.789	2019-11-26
0.45	6.799	2019-1-25
0.45	6.801	2020-11-8
0.45	6.828	2020-11-18
0.45	6.828	2020-11-7
0.45	6.838	2020-1-12
0.45	6.863	2020-11-10
0.45	6.885	2020-11-21
0.45	6.891	2020-1-26
0.46	6.898	2020-1-9
0.46	6.899	2019-9-2
0.46	6.901	2019-8-17
0.46	6.998	2019-1-14
0.46	7.008	2019-11-30
0.46	7.016	2019-11-25
0.46	7.062	2020-11-19
0.46	7.093	2019-11-4
0.46	7.140	2019-5-14
0.47	7.163	2019-10-26
0.47	7.183	2019-1-13
0.47	7.198	2020-9-24
0.47	7.202	2020-1-24
0.47	7.249	2019-1-12
0.47	7.289	2019-4-30
0.47	7.290	2020-11-2
0.47	7.311	2019-9-6
0.48	7.336	2020-2-12
0.48	7.347	2019-11-15
0.48	7.363	2018-11-22
0.48	7.386	2019-11-10
0.48	7.410	2020-11-24
0.48	7.411	2021-4-12
0.48	7.458	2020-11-20
0.48	7.462	2020-9-28
0.49	7.470	2019-3-13
0.49	7.478	2020-10-1
0.49	7.489	2020-7-17
0.49	7.517	2019-1-27
0.49	7.606	2018-11-23
0.49	7.611	2019-5-4
0.49	7.652	2019-1-30
0.49	7.652	2019-2-8
0.50	7.656	2019-10-7
0.50	7.659	2019-11-16
0.50	7.668	2020-11-5
0.50	7.686	2020-8-23
0.50	7.734	2020-9-27
0.50	7.737	2019-11-3
0.50	7.785	2020-9-29
0.50	7.790	2020-11-3
0.50	7.805	2020-1-17
0.51	7.846	2020-5-4
0.51	7.855	2020-10-22
0.51	7.906	2020-11-6
0.51	7.917	2020-10-21
0.51	7.918	2020-11-4
0.51	7.993	2021-1-23
0.51	8.097	2021-4-21
0.51	8.130	2019-7-18
0.52	8.131	2019-1-26
0.52	8.137	2021-1-25
0.52	8.154	2019-11-13
0.52	8.168	2020-10-23
