0.23	8.400	2019-1-2
0.23	8.400	2019-1-14
0.23	8.400	2020-12-6
0.23	8.417	2019-12-24
0.24	8.433	2019-1-9
0.24	8.433	2019-11-17
0.24	8.433	2020-12-1
0.24	8.450	2018-12-11
0.24	8.450	2018-12-25
0.24	8.450	2021-1-12
0.24	8.467	2018-11-28
0.24	8.467	2018-12-7
0.25	8.467	2019-11-7
0.25	8.483	2018-12-4
0.25	8.483	2020-12-3
0.25	8.483	2020-12-11
0.25	8.483	2020-12-30
0.25	8.500	2020-1-1
0.25	8.500	2020-10-29
0.25	8.517	2018-12-9
0.26	8.517	2020-11-11
0.26	8.517	2021-1-19
0.26	8.533	2018-12-19
0.26	8.533	2019-1-10
0.26	8.533	2019-2-8
0.26	8.533	2020-1-10
0.26	8.533	2021-1-22
0.26	8.550	2019-10-29
0.27	8.550	2019-11-30
0.27	8.550	2020-1-28
0.27	8.550	2021-1-15
0.27	8.550	2021-1-23
0.27	8.550	2021-2-18
0.27	8.583	2019-1-12
0.27	8.583	2020-1-21
0.27	8.583	2020-11-29
0.28	8.583	2020-12-2
0.28	8.583	2021-1-7
0.28	8.600	2019-1-11
0.28	8.600	2019-2-24
0.28	8.600	2020-1-9
0.28	8.617	2021-2-3
0.28	8.633	2019-1-30
0.28	8.633	2021-1-20
0.29	8.633	2021-2-5
0.29	8.667	2018-11-18
0.29	8.667	2019-11-25
0.29	8.667	2020-2-10
0.29	8.683	2019-1-13
0.29	8.683	2020-1-24
0.29	8.700	2019-11-29
0.29	8.700	2020-1-15
0.29	8.700	2020-1-27
0.30	8.700	2021-1-10
0.30	8.717	2018-11-23
0.30	8.717	2019-10-28
0.30	8.733	2020-1-23
0.30	8.733	2020-11-21
0.30	8.733	2021-1-30
0.30	8.750	2019-1-17
0.30	8.750	2021-1-21
0.31	8.767	2019-1-16
0.31	8.767	2019-2-7
0.31	8.767	2019-11-11
0.31	8.783	2018-11-21
0.31	8.783	2019-11-23
0.31	8.783	2019-11-26
0.31	8.800	2019-11-21
0.31	8.800	2020-11-20
0.32	8.800	2020-11-24
0.32	8.817	2021-1-18
0.32	8.833	2019-1-15
0.32	8.833	2019-10-31
0.32	8.833	2020-1-17
0.32	8.833	2020-1-20
0.32	8.850	2019-10-30
0.32	8.867	2020-11-15
0.33	8.867	2020-11-19
0.33	8.883	2018-11-29
0.33	8.883	2021-4-16
0.33	8.900	2021-2-13
0.33	8.917	2018-11-22
0.33	8.917	2019-4-15
0.33	8.917	2020-11-17
0.33	8.917	2021-2-14
0.34	8.933	2020-1-22
0.34	8.933	2021-2-4
0.34	8.950	2021-1-25
0.34	8.967	2019-1-26
0.34	8.967	2020-11-16
0.34	8.967	2020-11-18
0.34	8.983	2019-1-28
0.34	8.983	2019-11-15
0.35	9.000	2019-1-25
0.35	9.000	2019-1-29
0.35	9.000	2020-2-2
0.35	9.017	2020-1-26
0.35	9.033	2020-11-14
0.35	9.067	2020-1-31
0.35	9.083	2019-2-3
0.35	9.083	2021-1-24
0.36	9.100	2020-2-4
0.36	9.133	2019-11-10
0.36	9.133	2019-11-16
0.36	9.133	2020-1-29
0.36	9.133	2020-4-18
0.36	9.133	2021-1-31
0.36	9.133	2021-2-22
0.36	9.167	2019-11-13
0.37	9.183	2019-11-14
0.37	9.183	2020-1-30
0.37	9.183	2020-11-5
0.37	9.233	2019-3-28
0.37	9.233	2020-10-24
0.37	9.233	2020-10-27
0.37	9.233	2020-11-7
0.37	9.233	2020-11-10
0.38	9.250	2019-1-27
0.38	9.250	2019-1-31
0.38	9.250	2021-2-27
0.38	9.267	2019-10-12
0.38	9.267	2020-11-3
0.38	9.267	2020-11-9
0.38	9.283	2019-11-8
0.38	9.283	2020-2-3
0.39	9.283	2020-11-8
0.39	9.300	2020-2-9
0.39	9.333	2019-2-6
0.39	9.333	2020-5-4
0.39	9.333	2020-11-4
0.39	9.367	2019-2-5
0.39	9.367	2019-10-22
0.39	9.367	2020-11-6
0.40	9.383	2019-11-9
0.40	9.383	2020-2-5
0.40	9.383	2020-10-20
0.40	9.417	2019-2-1
0.40	9.417	2019-2-15
0.40	9.417	2019-10-11
0.40	9.417	2019-10-23
0.40	9.417	2020-8-8
0.41	9.433	2019-2-11
0.41	9.450	2021-2-6
0.41	9.467	2019-11-6
0.41	9.467	2020-4-13
0.41	9.467	2020-10-12
0.41	9.483	2019-11-2
0.41	9.500	2019-2-4
0.41	9.500	2019-11-1
0.42	9.533	2019-2-2
0.42	9.533	2020-10-22
0.42	9.533	2020-11-2
0.42	9.550	2020-10-23
0.42	9.583	2019-10-26
0.42	9.583	2019-11-4
0.42	9.583	2020-10-21
0.42	9.600	2021-3-18
0.43	9.617	2019-11-3
0.43	9.617	2020-2-8
0.43	9.633	2019-10-25
0.43	9.650	2019-9-26
0.43	9.667	2019-2-9
0.43	9.683	2021-3-28
0.43	9.717	2020-2-12
0.43	9.733	2019-10-16
0.43	9.750	2021-3-1
0.44	9.783	2019-2-10
0.44	9.783	2020-10-25
0.44	9.800	2019-10-20
0.44	9.817	2019-10-10
0.44	9.833	2021-2-28
0.44	9.850	2019-2-14
0.44	9.867	2020-2-14
0.44	9.867	2020-10-19
